ID_User,Jumlah_Penghuni,Luas_Rumah_m2,Label_SKEM_AC,Punya_Water_Heater,Watt_AC,Watt_Kulkas,Jam_AC_Harian,Jam_TV_PC_Harian,Jam_Cuci_Harian,Jam_Lampu_Harian,Jam_WaterHeater_Harian,Frekuensi_Cuci_Mingguan,kWh_AC,kWh_Kulkas,kWh_TV_PC,kWh_MesinCuci,kWh_Lampu,kWh_WaterHeater,Estimasi_Sistem_kWh,Meteran_Riil_kWh,Selisih_Persen,IKE_kWh_per_m2,Label_IKE_SNI,Emisi_CO2_kg,Tarif_kWh_Rp,Biaya_Pemakaian_Rp,PPJ_Rp,Biaya_Beban_Rp,Total_Tagihan_Rp,Tagihan_per_Penghuni_Rp,Status_Anomali_RuleBased,Label_Ground_Truth,Skor_Efisiensi,Rekomendasi_Utama
USR-0021,3,120.3,Bintang_1,0,847,194,10.9,4.5,0.43,5.0,0.0,2,277.56,139.76,18.75,5.14,17.89,0.0,459.1,449.28,2.14,3.82,Sangat Hemat,399.42,1699.53,763557,22907,47500,833964,277988,Tidak,Normal,65.6,Pertahankan pola pemakaian
USR-0022,1,66.5,Bintang_4,0,376,174,4.8,7.1,0.43,5.4,0.0,2,54.53,125.27,31.3,5.14,6.52,0.0,222.77,219.44,1.49,3.35,Sangat Hemat,193.81,1699.53,372942,11188,47500,431630,431630,Tidak,Normal,50.0,Pertahankan pola pemakaian
USR-0023,7,73.7,Bintang_1,0,859,125,9.2,1.9,1.07,5.4,0.0,5,237.99,89.87,9.87,12.86,45.21,0.0,395.8,376.82,4.79,5.37,Sangat Hemat,344.34,1699.53,640424,19213,47500,707136,101019,Tidak,Normal,87.3,Pertahankan pola pemakaian
USR-0024,2,43.7,Bintang_1,0,889,166,4.8,1.7,0.64,6.8,0.0,3,128.09,119.33,7.01,7.71,16.43,0.0,278.57,265.79,4.59,6.37,Sangat Hemat,242.36,1699.53,451711,13551,47500,512763,256381,Tidak,Normal,68.7,Pertahankan pola pemakaian
USR-0025,3,59.5,Tidak_Ada,1,0,170,0.0,7.3,1.5,5.1,0.53,7,0.0,122.74,32.51,18.0,18.41,5.53,197.19,200.75,1.81,3.31,Sangat Hemat,171.55,1699.53,341183,10236,47500,398919,132973,Tidak,Normal,85.2,Pertahankan pola pemakaian
USR-0026,4,74.9,Tidak_Ada,0,0,142,0.0,1.7,0.43,4.2,0.0,2,0.0,102.19,7.22,5.14,20.37,0.0,134.93,137.38,1.82,1.8,Sangat Hemat,117.38,1699.53,233478,7004,47500,287982,71996,Tidak,Normal,92.4,Pertahankan pola pemakaian
USR-0027,3,48.1,Bintang_4,0,416,160,5.0,3.7,0.86,4.0,0.0,4,62.33,115.04,16.29,10.29,14.52,0.0,218.46,214.75,1.7,4.54,Sangat Hemat,190.06,1699.53,364976,10949,47500,423426,141142,Tidak,Normal,83.6,Pertahankan pola pemakaian
USR-0028,7,82.1,Bintang_1,0,916,141,10.5,10.1,0.43,4.5,0.0,2,287.43,101.43,42.39,5.14,38.05,0.0,474.44,492.73,3.85,5.78,Sangat Hemat,412.77,1699.53,837411,25122,47500,910033,130005,Tidak,Normal,84.8,Pertahankan pola pemakaian
USR-0029,1,58.3,Bintang_1,0,906,181,8.9,4.3,0.43,7.4,0.0,2,241.04,130.02,17.16,5.14,8.83,0.0,402.19,392.79,2.34,6.89,Sangat Hemat,349.91,1699.53,667551,20027,47500,735078,735078,Tidak,Normal,9.7,Pertahankan pola pemakaian
USR-0030,4,65.0,Bintang_4,0,385,157,5.0,4.3,0.43,6.0,0.0,2,58.18,113.26,16.8,5.14,28.88,0.0,222.27,219.95,1.04,3.42,Sangat Hemat,193.37,1699.53,373810,11214,47500,432524,108131,Tidak,Normal,87.5,Pertahankan pola pemakaian
USR-0031,7,58.3,Bintang_1,0,795,132,4.1,5.9,0.86,6.5,0.0,4,98.88,94.79,25.43,10.29,54.61,0.0,284.0,290.57,2.31,4.87,Sangat Hemat,247.08,1699.53,493830,14815,47500,556144,79449,Tidak,Normal,90.9,Pertahankan pola pemakaian
USR-0032,4,137.7,Bintang_4,1,389,163,6.6,3.7,0.64,6.5,0.48,3,77.31,117.65,20.17,7.71,31.38,5.09,259.3,265.62,2.44,1.88,Sangat Hemat,225.59,1699.53,451429,13543,47500,512472,128118,Tidak,Normal,85.4,Pertahankan pola pemakaian
USR-0033,6,71.7,Bintang_4,0,466,171,7.3,4.4,1.29,6.1,0.0,6,102.71,123.25,22.08,15.43,43.6,0.0,307.07,318.16,3.61,4.28,Sangat Hemat,267.15,1699.53,540715,16221,47500,604437,100739,Tidak,Normal,88.5,Pertahankan pola pemakaian
USR-0034,3,49.7,Bintang_4,0,338,154,9.7,2.2,0.86,5.9,0.0,4,98.63,110.85,6.81,10.29,21.33,0.0,247.92,236.24,4.71,4.99,Sangat Hemat,215.69,1699.53,401501,12045,47500,461046,153682,Tidak,Normal,81.4,Pertahankan pola pemakaian
USR-0035,8,96.0,Bintang_4,0,354,160,6.6,5.5,0.43,7.0,0.0,2,69.55,114.9,22.43,5.14,67.63,0.0,279.65,270.81,3.16,2.91,Sangat Hemat,243.3,1699.53,460245,13807,47500,521553,65194,Tidak,Normal,92.1,Pertahankan pola pemakaian
USR-0036,6,47.0,Bintang_4,1,440,149,8.0,3.5,0.43,6.1,0.47,2,104.89,107.0,13.68,5.14,44.25,4.89,279.85,283.79,1.41,5.96,Sangat Hemat,243.47,1699.53,482302,14469,47500,544271,90712,Tidak,Normal,89.5,Pertahankan pola pemakaian
USR-0037,1,77.5,Bintang_4,0,447,127,7.0,1.1,0.86,7.4,0.0,4,94.49,91.67,3.46,10.29,8.88,0.0,208.79,205.41,1.62,2.7,Sangat Hemat,181.65,1699.53,349100,10473,47500,407073,407073,Tidak,Normal,53.1,Pertahankan pola pemakaian
USR-0038,4,36.3,Bintang_4,1,374,147,11.1,3.1,1.07,6.6,0.63,5,125.07,105.82,14.93,12.86,31.78,6.66,297.11,283.55,4.56,8.19,Sangat Hemat,258.49,1699.53,481906,14457,47500,543863,135966,Tidak,Normal,83.3,Pertahankan pola pemakaian
USR-0039,3,45.2,Bintang_4,0,402,160,2.5,0.7,0.21,5.4,0.0,1,29.84,115.53,3.26,2.57,19.38,0.0,170.58,172.05,0.86,3.77,Sangat Hemat,148.4,1699.53,292410,8772,47500,348683,116228,Tidak,Normal,87.2,Pertahankan pola pemakaian
USR-0040,3,77.1,Bintang_1,1,869,147,8.6,4.2,0.21,5.5,0.46,1,223.44,106.16,26.37,2.57,19.81,4.84,383.18,379.08,1.07,4.97,Sangat Hemat,333.36,1699.53,644259,19328,47500,711087,237029,Tidak,Normal,71.3,Pertahankan pola pemakaian
USR-0041,5,93.2,Bintang_4,0,393,166,8.0,2.4,0.86,5.3,0.0,4,94.12,119.53,9.92,10.29,31.64,0.0,265.5,261.89,1.36,2.85,Sangat Hemat,230.98,1699.53,445092,13353,47500,505944,101189,Tidak,Normal,88.1,Pertahankan pola pemakaian
USR-0042,4,76.5,Bintang_4,1,404,142,5.9,8.5,0.64,7.2,0.28,3,71.24,102.35,32.42,7.71,34.64,2.9,251.27,245.35,2.36,3.29,Sangat Hemat,218.61,1699.53,416982,12509,47500,476992,119248,Tidak,Normal,85.9,Pertahankan pola pemakaian
USR-0043,5,69.1,Bintang_4,0,400,143,7.8,3.6,0.64,5.6,0.0,3,94.27,103.3,13.54,7.71,33.57,0.0,252.39,239.92,4.94,3.65,Sangat Hemat,219.58,1699.53,407758,12233,47500,467491,93498,Tidak,Normal,88.7,Pertahankan pola pemakaian
USR-0044,1,64.8,Bintang_4,0,356,167,6.9,4.7,0.43,5.2,0.0,2,73.71,119.97,19.37,5.14,6.24,0.0,224.43,217.3,3.18,3.46,Sangat Hemat,195.26,1699.53,369314,11079,47500,427893,427893,Tidak,Normal,49.6,Pertahankan pola pemakaian
USR-0045,4,42.9,Tidak_Ada,1,0,154,0.0,1.4,0.86,6.3,0.26,4,0.0,111.19,7.29,10.29,30.33,2.77,161.88,161.46,0.26,3.77,Sangat Hemat,140.83,1699.53,274404,8232,47500,330136,82534,Tidak,Normal,90.9,Pertahankan pola pemakaian
USR-0046,3,56.0,Bintang_1,1,891,142,4.9,4.1,0.86,5.9,0.53,4,131.33,102.07,21.05,10.29,21.25,5.53,291.51,284.98,2.24,5.21,Sangat Hemat,253.62,1699.53,484327,14530,47500,546357,182119,Tidak,Normal,78.2,Pertahankan pola pemakaian
USR-0047,3,61.3,Bintang_4,1,403,171,7.3,1.9,0.86,6.3,0.94,4,87.78,122.89,13.2,10.29,22.66,9.89,266.71,276.69,3.74,4.35,Sangat Hemat,232.04,1699.53,470248,14107,47500,531856,177285,Tidak,Normal,80.0,Pertahankan pola pemakaian
USR-0048,5,104.2,Bintang_4,0,348,136,7.7,5.2,0.43,7.9,0.0,2,80.4,98.08,17.85,5.14,47.34,0.0,248.82,239.93,3.57,2.39,Sangat Hemat,216.47,1699.53,407772,12233,47500,467506,93501,Tidak,Normal,88.8,Pertahankan pola pemakaian
USR-0049,2,81.2,Bintang_4,0,423,135,7.2,1.4,1.07,6.9,0.0,5,91.25,97.53,6.36,12.86,16.59,0.0,224.6,233.03,3.75,2.77,Sangat Hemat,195.4,1699.53,396034,11881,47500,455416,227708,Tidak,Normal,74.8,Pertahankan pola pemakaian
USR-0050,3,38.8,Tidak_Ada,0,0,93,0.0,2.9,1.29,6.0,0.0,6,0.0,67.26,11.28,15.43,21.7,0.0,115.66,114.56,0.95,2.98,Sangat Hemat,100.62,1699.53,194695,5841,47500,248036,82679,Tidak,Normal,91.3,Pertahankan pola pemakaian
USR-0051,6,80.6,Bintang_1,0,821,139,9.7,1.4,0.21,4.6,0.0,1,238.26,100.02,6.53,2.57,33.06,0.0,380.45,371.92,2.24,4.72,Sangat Hemat,330.99,1699.53,632096,18963,47500,698559,116427,Tidak,Normal,85.8,Pertahankan pola pemakaian
USR-0052,6,62.9,Bintang_4,1,454,176,4.5,2.9,0.86,5.5,0.58,4,61.02,126.85,16.84,10.29,39.6,6.05,260.64,255.54,1.96,4.14,Sangat Hemat,226.76,1699.53,434296,13029,47500,494825,82471,Tidak,Normal,90.2,Pertahankan pola pemakaian
USR-0053,5,56.8,Bintang_1,0,790,109,11.7,9.1,0.86,6.7,0.0,4,276.93,78.16,48.26,10.29,40.27,0.0,453.91,446.19,1.7,7.99,Sangat Hemat,394.9,1699.53,758319,22750,47500,828568,165714,Tidak,Normal,79.6,Pertahankan pola pemakaian
USR-0054,5,89.2,Bintang_1,0,818,131,7.4,4.2,0.86,4.8,0.0,4,182.0,94.29,14.3,10.29,28.97,0.0,329.85,330.07,0.07,3.7,Sangat Hemat,286.97,1699.53,560965,16829,47500,625294,125059,Tidak,Normal,85.2,Pertahankan pola pemakaian
USR-0055,5,103.3,Tidak_Ada,0,0,159,0.0,2.7,1.29,8.1,0.0,6,0.0,114.32,13.64,15.43,48.85,0.0,192.23,189.43,1.46,1.86,Sangat Hemat,167.24,1699.53,321935,9658,47500,379093,75819,Tidak,Normal,91.4,Pertahankan pola pemakaian
USR-0056,2,99.7,Bintang_1,0,833,105,8.5,0.6,0.64,6.0,0.0,3,213.68,75.67,1.61,7.71,14.43,0.0,313.12,317.73,1.47,3.14,Sangat Hemat,272.41,1699.53,539985,16200,47500,603684,301842,Tidak,Normal,64.8,Pertahankan pola pemakaian
USR-0057,5,53.7,Bintang_4,0,420,140,3.3,2.0,0.64,6.0,0.0,3,41.51,100.65,4.65,7.71,36.29,0.0,190.81,189.39,0.75,3.56,Sangat Hemat,166.01,1699.53,321869,9656,47500,379025,75805,Tidak,Normal,91.4,Pertahankan pola pemakaian
USR-0058,5,64.6,Tidak_Ada,0,0,173,0.0,3.6,1.07,5.3,0.0,5,0.0,124.43,15.45,12.86,32.0,0.0,184.74,187.91,1.72,2.86,Sangat Hemat,160.72,1699.53,319357,9581,47500,376438,75288,Tidak,Normal,91.7,Pertahankan pola pemakaian
USR-0059,4,80.9,Tidak_Ada,0,0,191,0.0,2.0,0.43,6.5,0.0,2,0.0,137.42,10.1,5.14,31.18,0.0,183.85,185.77,1.04,2.27,Sangat Hemat,159.95,1699.53,315720,9472,47500,372692,93173,Tidak,Normal,89.7,Pertahankan pola pemakaian
USR-0060,3,101.3,Bintang_4,1,403,156,7.5,6.4,0.21,4.8,0.56,1,91.01,112.18,30.81,2.57,17.43,5.92,259.92,253.28,2.56,2.57,Sangat Hemat,226.13,1699.53,430453,12914,47500,490866,163622,Tidak,Normal,80.5,Pertahankan pola pemakaian
USR-0061,2,60.9,Bintang_4,0,384,131,9.1,2.8,0.43,8.2,0.0,2,105.31,94.66,17.64,5.14,19.6,0.0,242.34,249.92,3.13,3.98,Sangat Hemat,210.84,1699.53,424747,12742,47500,484990,242495,Tidak,Normal,72.8,Pertahankan pola pemakaian
USR-0062,3,67.5,Bintang_4,1,421,131,7.6,5.2,0.86,7.3,0.45,4,95.47,94.17,23.88,10.29,26.34,4.77,254.92,262.54,2.99,3.78,Sangat Hemat,221.78,1699.53,446200,13386,47500,507086,169029,Tidak,Normal,80.9,Pertahankan pola pemakaian
USR-0063,3,48.9,Bintang_4,0,424,153,7.3,3.1,0.64,7.0,0.0,3,92.25,110.09,13.54,7.71,25.14,0.0,248.73,260.9,4.89,5.09,Sangat Hemat,216.4,1699.53,443402,13302,47500,504204,168068,Tidak,Normal,81.4,Pertahankan pola pemakaian
USR-0064,5,47.4,Tidak_Ada,0,0,156,0.0,2.3,0.21,4.6,0.0,1,0.0,112.05,12.76,2.57,27.66,0.0,155.04,150.0,3.25,3.27,Sangat Hemat,134.88,1699.53,254925,7648,47500,310073,62015,Tidak,Normal,93.0,Pertahankan pola pemakaian
USR-0065,6,95.7,Bintang_1,1,842,187,12.2,2.0,1.07,6.2,0.76,5,308.24,134.75,8.53,12.86,44.68,7.95,517.01,534.99,3.48,5.4,Sangat Hemat,449.8,1699.53,909240,27277,47500,984017,164003,Tidak,Normal,80.6,Pertahankan pola pemakaian
USR-0066,4,115.7,Bintang_1,1,790,169,8.2,1.5,0.21,7.2,0.51,1,194.53,121.98,7.18,2.57,34.6,5.36,366.23,379.85,3.72,3.16,Sangat Hemat,318.62,1699.53,645570,19367,47500,712438,178109,Tidak,Normal,79.4,Pertahankan pola pemakaian
USR-0067,3,70.2,Tidak_Ada,0,0,152,0.0,5.2,1.07,6.6,0.0,5,0.0,109.21,25.74,12.86,23.74,0.0,171.54,173.98,1.42,2.44,Sangat Hemat,149.24,1699.53,295687,8871,47500,352058,117353,Tidak,Normal,87.2,Pertahankan pola pemakaian
USR-0068,5,102.3,Bintang_4,1,358,143,6.4,2.1,0.43,5.0,0.24,2,69.13,103.17,7.62,5.14,29.99,2.48,217.53,217.67,0.06,2.13,Sangat Hemat,189.25,1699.53,369933,11098,47500,428531,85706,Tidak,Normal,90.2,Pertahankan pola pemakaian
USR-0069,7,81.7,Bintang_4,0,424,210,6.8,3.7,0.21,5.3,0.0,1,86.1,151.41,18.03,2.57,44.94,0.0,303.05,451.08,48.85,3.71,Sangat Hemat,263.65,1699.53,766627,22999,47500,837125,119589,Ya,Anomal,90.3,Pertahankan pola pemakaian
USR-0070,5,57.4,Tidak_Ada,1,0,163,0.0,2.0,0.86,5.5,0.79,4,0.0,117.02,12.82,10.29,33.29,8.3,181.72,258.78,42.4,3.16,Sangat Hemat,158.1,1699.53,439801,13194,47500,500495,100099,Ya,Anomal,91.8,Pertahankan pola pemakaian
USR-0071,3,81.7,Tidak_Ada,0,0,137,0.0,1.4,0.43,5.4,0.0,2,0.0,98.37,7.84,5.14,19.43,0.0,130.78,132.63,1.42,1.6,Sangat Hemat,113.78,1699.53,225413,6762,47500,279675,93225,Tidak,Normal,90.2,Pertahankan pola pemakaian
USR-0072,5,123.3,Tidak_Ada,0,0,146,0.0,3.8,0.64,7.5,0.0,3,0.0,104.77,14.2,7.71,45.17,0.0,171.85,169.44,1.4,1.39,Sangat Hemat,149.51,1699.53,287970,8639,47500,344110,68822,Tidak,Normal,92.3,Pertahankan pola pemakaian
USR-0073,7,71.1,Bintang_1,1,850,132,9.8,1.7,0.43,4.1,0.7,2,250.65,95.36,11.47,5.14,34.26,7.37,404.26,417.09,3.17,5.69,Sangat Hemat,351.71,1699.53,708849,21265,47500,777615,111088,Tidak,Normal,87.0,Pertahankan pola pemakaian
USR-0074,7,124.5,Tidak_Ada,0,0,102,0.0,2.1,0.21,6.7,0.0,1,0.0,73.37,10.95,2.57,55.91,0.0,142.8,136.94,4.11,1.15,Sangat Hemat,124.24,1699.53,232726,6982,47500,287208,41030,Tidak,Normal,95.4,Pertahankan pola pemakaian
USR-0075,3,28.8,Bintang_4,0,446,156,7.0,1.3,0.64,4.7,0.0,3,93.25,112.5,6.27,7.71,16.95,0.0,236.68,231.73,2.09,8.22,Sangat Hemat,205.91,1699.53,393827,11815,47500,453142,151047,Tidak,Normal,82.3,Pertahankan pola pemakaian
USR-0076,7,96.0,Bintang_4,0,406,186,7.9,2.0,0.86,5.0,0.0,4,96.5,133.67,8.92,10.29,42.33,0.0,291.71,448.3,53.68,3.04,Sangat Hemat,253.78,1699.53,761900,22857,47500,832257,118894,Ya,Anomal,90.6,Pertahankan pola pemakaian
USR-0077,4,74.2,Tidak_Ada,0,0,117,0.0,2.8,0.43,4.0,0.0,2,0.0,84.52,14.11,5.14,19.15,0.0,122.92,126.78,3.14,1.66,Sangat Hemat,106.94,1699.53,215475,6464,47500,269439,67360,Tidak,Normal,93.1,Pertahankan pola pemakaian
USR-0078,2,64.8,Bintang_1,1,949,151,12.7,2.3,0.64,5.5,0.49,3,361.91,108.8,10.52,7.71,13.08,5.17,507.2,529.49,4.4,7.82,Sangat Hemat,441.26,1699.53,899886,26997,47500,974383,487191,Tidak,Normal,43.0,Pertahankan pola pemakaian
USR-0079,5,74.3,Tidak_Ada,1,0,136,0.0,4.4,0.86,7.5,0.0,4,0.0,97.82,20.06,10.29,45.06,0.0,173.23,174.88,0.95,2.33,Sangat Hemat,150.71,1699.53,297209,8916,47500,353625,70725,Tidak,Normal,92.2,Pertahankan pola pemakaian
USR-0080,3,35.9,Bintang_1,0,764,160,7.2,3.0,1.29,6.3,0.0,6,165.93,115.51,12.99,15.43,22.55,0.0,332.41,329.34,0.92,9.26,Sangat Hemat,289.2,1699.53,559731,16792,47500,624022,208007,Tidak,Normal,75.1,Pertahankan pola pemakaian
USR-0081,3,66.7,Bintang_1,1,812,147,9.6,17.3,0.43,4.8,0.46,2,233.78,105.52,93.17,5.14,17.29,4.83,459.73,481.78,4.8,6.9,Sangat Hemat,399.96,1699.53,818802,24564,47500,890866,296955,Tidak,Normal,65.6,Pertahankan pola pemakaian
USR-0082,3,81.6,Tidak_Ada,0,0,123,0.0,3.5,1.07,7.0,0.0,5,0.0,88.42,18.5,12.86,25.26,0.0,145.04,142.27,1.91,1.78,Sangat Hemat,126.18,1699.53,241794,7254,47500,296548,98849,Tidak,Normal,89.1,Pertahankan pola pemakaian
USR-0083,4,120.8,Bintang_1,0,879,130,8.3,1.0,0.43,7.2,0.0,2,218.05,93.87,4.19,5.14,34.71,0.0,355.97,365.13,2.57,2.95,Sangat Hemat,309.69,1699.53,620552,18617,47500,686669,171667,Tidak,Normal,80.0,Pertahankan pola pemakaian
USR-0084,1,60.1,Bintang_4,0,410,133,6.5,2.4,0.86,6.1,0.0,4,80.37,96.04,7.49,10.29,7.32,0.0,201.52,202.69,0.58,3.36,Sangat Hemat,175.32,1699.53,344479,10334,47500,402313,402313,Tidak,Normal,54.7,Pertahankan pola pemakaian
USR-0085,3,54.3,Bintang_1,0,843,177,10.8,2.5,0.43,8.0,0.0,2,273.32,127.36,11.42,5.14,28.93,0.0,446.17,669.71,50.1,8.22,Sangat Hemat,388.17,1699.53,1138187,34146,47500,1219832,406611,Ya,Anomal,66.6,Pertahankan pola pemakaian
USR-0086,7,60.4,Tidak_Ada,0,0,176,0.0,1.9,0.21,6.8,0.0,1,0.0,126.62,7.25,2.57,57.3,0.0,193.74,184.4,4.83,3.21,Sangat Hemat,168.56,1699.53,313387,9402,47500,370289,52898,Tidak,Normal,93.8,Pertahankan pola pemakaian
USR-0087,3,99.2,Bintang_4,0,436,144,8.1,2.8,1.5,6.7,0.0,7,105.95,103.52,11.57,18.0,24.06,0.0,263.09,260.03,1.16,2.65,Sangat Hemat,228.89,1699.53,441930,13258,47500,502688,167563,Tidak,Normal,80.3,Pertahankan pola pemakaian
USR-0088,5,80.8,Bintang_1,1,817,175,11.6,1.8,0.64,5.2,0.37,3,285.29,125.68,8.11,7.71,31.18,3.9,461.87,464.07,0.48,5.72,Sangat Hemat,401.83,1699.53,788708,23661,47500,859869,171974,Tidak,Normal,79.3,Pertahankan pola pemakaian
USR-0089,2,59.8,Bintang_4,0,467,147,6.1,3.3,1.29,6.6,0.0,6,85.94,105.51,11.77,15.43,15.91,0.0,234.55,227.12,3.17,3.92,Sangat Hemat,204.06,1699.53,386002,11580,47500,445082,222541,Tidak,Normal,73.7,Pertahankan pola pemakaian
